,row,row_name,column,x_coord,y_coord,radius,halo,spot_intensity,note
0,1,A,11,91,96,25,,0.41653079572890467,Backfilled
1,1,A,12,184,91,22,,0.4288246957738813,Initial Detection
2,1,A,13,285,91,21,,0.4867271086666953,Initial Detection
3,1,A,14,385,88,22,,0.440249860684525,Initial Detection
4,1,A,15,486,91,25,,0.43043913083007546,Initial Detection
5,1,A,16,580,95,29,,0.3779975574486577,Initial Detection
6,1,A,17,678,86,25,,0.3958521481750866,Backfilled
7,1,A,18,786,84,21,,0.3879030063449777,Initial Detection
8,1,A,19,892,86,21,,0.38156089316661657,Initial Detection
9,1,A,20,990,83,24,,0.35226821863457514,Initial Detection
10,2,B,11,87,205,20,,0.4790329947239939,Initial Detection
11,2,B,12,191,208,20,,0.44834711394598004,Initial Detection
12,2,B,13,288,204,20,,0.4967131270178755,Initial Detection
13,2,B,14,382,205,21,,0.4589409759521047,Initial Detection
14,2,B,15,485,200,21,,0.4545381629642361,Initial Detection
15,2,B,16,581,199,23,,0.4281144841199063,Initial Detection
16,2,B,17,681,203,23,,0.4355699829962306,Initial Detection
17,2,B,18,787,203,20,,0.42997086384754707,Initial Detection
18,2,B,19,888,201,22,,0.4130269688840506,Initial Detection
19,2,B,20,987,203,25,,0.39430453273529914,Backfilled
20,3,C,11,88,321,22,,0.4645231522880137,Initial Detection
21,3,C,12,192,325,25,,0.46330272449010523,Backfilled
22,3,C,13,282,324,25,,0.48885050156074794,Backfilled
23,3,C,14,390,321,23,,0.48842911330693584,Initial Detection
24,3,C,15,485,318,21,,0.5355820048983801,Initial Detection
25,3,C,16,589,321,20,,0.4565272856130404,Initial Detection
26,3,C,17,682,321,23,,0.4363833101463751,Initial Detection
27,3,C,18,787,314,24,,0.43799471717138505,Initial Detection
28,3,C,19,893,313,24,,0.4049671741251,Initial Detection
29,3,C,20,992,313,22,,0.41102600987519927,Initial Detection
30,4,D,11,89,436,21,,0.5018490668729142,Initial Detection
31,4,D,12,190,435,23,,0.49940902983388624,Initial Detection
32,4,D,13,287,434,21,,0.5505177673699136,Initial Detection
33,4,D,14,389,433,21,,0.49125023274466834,Initial Detection
34,4,D,15,486,432,20,,0.5318592015119301,Initial Detection
35,4,D,16,582,429,20,,0.45902826994251517,Initial Detection
36,4,D,17,688,436,22,,0.43260889286315984,Initial Detection
37,4,D,18,787,437,24,,0.4185622376396058,Initial Detection
38,4,D,19,895,426,22,,0.4177157445926156,Initial Detection
39,4,D,20,1000,429,21,,0.4145834228505135,Initial Detection
40,5,E,11,92,549,20,,0.5322529333018348,Initial Detection
41,5,E,12,192,549,21,,0.5347340981681203,Initial Detection
42,5,E,13,288,549,22,,0.5419721887433097,Initial Detection
43,5,E,14,392,548,22,,0.5149255472182263,Initial Detection
44,5,E,15,488,548,22,,0.5431826134287158,Initial Detection
45,5,E,16,586,551,20,,0.47492873454602724,Initial Detection
46,5,E,17,695,546,21,,0.4509374239103968,Initial Detection
47,5,E,18,791,545,22,,0.4370643961484131,Initial Detection
48,5,E,19,893,543,25,,0.4314452829045065,Initial Detection
49,5,E,20,993,547,25,,0.42010889878877883,Backfilled
50,6,F,11,88,665,21,,0.6130566178260932,Initial Detection
51,6,F,12,192,662,21,,0.6309428665549492,Initial Detection
52,6,F,13,292,660,21,,0.6555665363296524,Initial Detection
53,6,F,14,391,662,22,,0.6416080245713619,Initial Detection
54,6,F,15,488,662,22,,0.6215025335977088,Initial Detection
55,6,F,16,587,663,21,,0.524725361291339,Initial Detection
56,6,F,17,691,661,21,,0.4891505177673699,Initial Detection
57,6,F,18,792,664,22,,0.46972253541204984,Initial Detection
58,6,F,19,894,663,25,,0.4358012344556576,Backfilled
59,6,F,20,995,663,25,,0.4336555848511481,Backfilled
60,7,G,11,90,779,22,,0.760589920039397,Initial Detection
61,7,G,12,190,779,24,,0.7816394305066913,Initial Detection
62,7,G,13,294,780,22,,0.8517268639114604,Initial Detection
63,7,G,14,393,777,25,,0.6062207675445241,Backfilled
64,7,G,15,494,777,20,,0.82471060713442,Initial Detection
65,7,G,16,589,776,23,,0.7362703480421883,Initial Detection
66,7,G,17,692,775,21,,0.6352282330024779,Initial Detection
67,7,G,18,794,777,20,,0.5700322860067721,Initial Detection
68,7,G,19,901,775,20,,0.5201102449011733,Initial Detection
69,7,G,20,996,773,20,,0.49710055909914175,Initial Detection
70,8,H,11,92,894,20,47.0,0.7279911804079061,Initial Detection
71,8,H,12,192,895,22,49.0,0.7028083407850914,Initial Detection
72,8,H,13,293,891,23,57.0,0.6431705489958265,Initial Detection
73,8,H,14,393,892,21,,0.6151047709076326,Initial Detection
74,8,H,15,494,893,21,57.0,0.6416161789770692,Initial Detection
75,8,H,16,591,888,25,42.0,0.7402551747128526,Backfilled
76,8,H,17,695,891,20,,0.7710622883691629,Initial Detection
77,8,H,18,798,888,22,,0.5573966797558415,Initial Detection
78,8,H,19,896,885,22,,0.5037958607104441,Initial Detection
79,8,H,20,1001,884,22,,0.48516776175109827,Initial Detection
80,9,I,11,92,1006,22,,0.7803791972836724,Initial Detection
81,9,I,12,194,1008,20,,0.7851578864477518,Initial Detection
82,9,I,13,293,1007,23,,0.8030250062426427,Initial Detection
83,9,I,14,395,1007,24,,0.8201646225846404,Initial Detection
84,9,I,15,497,1010,20,,0.7773556972989999,Initial Detection
85,9,I,16,592,1006,21,,0.6969736031739212,Initial Detection
86,9,I,17,691,1008,21,,0.5708761225454388,Initial Detection
