,row,row_name,column,x_coord,y_coord,radius,halo,spot_intensity,note
87,9,I,18,797,1003,23,,0.4846716369992509,Initial Detection
88,9,I,19,904,1002,20,,0.438979447200567,Initial Detection
89,9,I,20,1002,1001,24,,0.46899023443922006,Initial Detection
90,10,J,11,90,1122,22,,0.5550639555227246,Initial Detection
91,10,J,12,193,1119,24,,0.5343789388309823,Initial Detection
92,10,J,13,293,1122,23,,0.5375141202630234,Initial Detection
93,10,J,14,397,1121,21,,0.5463555765622539,Initial Detection
94,10,J,15,497,1123,22,,0.5262833223176911,Initial Detection
95,10,J,16,592,1121,22,,0.48492671358034295,Initial Detection
96,10,J,17,700,1119,22,,0.46150616227984914,Initial Detection
97,10,J,18,799,1120,21,,0.44934473424139565,Initial Detection
98,10,J,19,900,1118,20,,0.45198834553901884,Initial Detection
99,10,J,20,1006,1114,25,,0.4782394359083149,Initial Detection
100,11,K,11,95,1238,21,,0.46752316704621955,Initial Detection
101,11,K,12,198,1235,22,,0.420240270596011,Initial Detection
102,11,K,13,298,1240,25,,0.40768958794233817,Initial Detection
103,11,K,14,398,1236,20,,0.4256713127017876,Initial Detection
104,11,K,15,499,1235,23,,0.38369778475368316,Initial Detection
105,11,K,16,600,1234,21,,0.3786333233074091,Initial Detection
106,11,K,17,691,1238,21,,0.3632306392242799,Initial Detection
107,11,K,18,803,1236,22,,0.38285188497077616,Initial Detection
108,11,K,19,903,1234,20,,0.3816457988818017,Initial Detection
109,11,K,20,1002,1239,26,,0.44733774021699724,Initial Detection
110,12,L,11,93,1347,24,,0.37728383695568785,Initial Detection
111,12,L,12,192,1349,25,,0.357604226646867,Backfilled
112,12,L,13,300,1349,25,,0.3426392298289743,Backfilled
113,12,L,14,403,1349,25,,0.344778818276409,Backfilled
114,12,L,15,501,1349,25,,0.330310836338657,Backfilled
115,12,L,16,599,1349,25,,0.321946439575315,Backfilled
116,12,L,17,699,1352,20,,0.33199464524765726,Initial Detection
117,12,L,18,800,1355,22,,0.32922255485141844,Initial Detection
118,12,L,19,904,1350,20,,0.3525033467202142,Initial Detection
119,12,L,20,1003,1347,23,,0.4340360765288529,Initial Detection
