,row,row_name,column,type,x_coord,y_coord,radius,halo,spot_intensity,norm_intensity,note,RT
61,4,D,2,Sample,208,434,25,,0.723055631320019,0.9990624082013724,Initial Detection,
62,4,D,3,Sample,309,435,23,,0.7297256804480434,1.008278566759601,Initial Detection,
63,4,D,4,Sample,418,437,24,,0.733611723057026,1.013648000201694,Initial Detection,
64,4,D,5,Sample,524,439,25,,0.735070865028134,1.0156641298443074,Initial Detection,
65,4,D,6,Sample,628,440,24,,0.7366126327557295,1.0177944253735831,Initial Detection,
66,4,D,7,Sample,734,439,26,,0.7347781217750259,1.015259639834457,Initial Detection,
67,4,D,8,Sample,840,444,24,,0.7317923256502155,1.0111340974313012,Initial Detection,
68,4,D,9,Sample,953,445,20,,0.7332419875580756,1.0131371282549468,Initial Detection,
69,4,D,10,Sample,1059,447,21,,0.7330783884043026,1.0129110795839065,Initial Detection,
70,4,D,11,Sample,1380,453,24,,0.7221955523405561,0.9978740175171079,Initial Detection,
71,4,D,12,Sample,1484,459,26,,0.7195306761870229,0.9941918975360399,Initial Detection,
72,4,D,13,Sample,1584,456,20,,0.7217765178360502,0.9972950280133172,Initial Detection,
73,4,D,14,Sample,1696,459,23,,0.721354593990416,0.9967120462411853,Initial Detection,
74,4,D,15,Sample,1803,459,23,,0.7210192749021986,0.9962487282317829,Backfilled,
75,4,D,16,Sample,1906,462,25,,0.723865805982362,1.0001818449558395,Initial Detection,
76,4,D,17,Sample,2007,461,20,,0.7229734624773605,0.9989488736429377,Initial Detection,
77,4,D,18,Sample,2117,462,25,,0.7149276196825973,0.987831749689597,Initial Detection,
78,4,D,19,Sample,2225,463,25,,0.715865078643513,0.9891270580538684,Initial Detection,
79,4,D,20,Sample,2334,467,24,,0.7098762590558862,0.9808521698428811,Initial Detection,
80,5,E,1,Control,99,553,20,,0.7177447043074259,0.9917241795767,Initial Detection,
81,5,E,2,Control,203,554,25,,0.7189986968512289,0.9934568495904738,Initial Detection,
82,5,E,3,Control,309,556,25,,0.7252881575092684,1.0021471404050788,Initial Detection,
83,5,E,4,Control,414,558,24,,0.7285722114446673,1.0066847924075575,Initial Detection,
84,5,E,5,Control,521,556,26,,0.7308379587017358,1.0098154269161221,Initial Detection,
85,5,E,6,Control,631,560,20,,0.7353744389321994,1.0160835848108762,Initial Detection,
86,5,E,7,Control,732,562,25,,0.7346910325181079,1.0151393066277492,Initial Detection,
87,5,E,8,Control,839,562,24,,0.7304091452120256,1.0092229255660987,Initial Detection,
88,5,E,9,Control,944,565,25,,0.7301087977694943,1.008807928674802,Initial Detection,
89,5,E,10,Control,1048,566,24,,0.7287497670952113,1.0069301250875595,Initial Detection,
90,5,E,11,Control,1377,576,24,,0.7199508981904668,0.9947725278341171,Initial Detection,
91,5,E,12,Control,1481,577,25,,0.7187178632400926,0.9930688154037632,Initial Detection,
92,5,E,13,Control,1586,579,25,,0.7181339717752118,0.9922620392889474,Initial Detection,
93,5,E,14,Control,1700,581,21,,0.720964207450694,0.9961726402817959,Initial Detection,
94,5,E,15,Control,1800,578,21,,0.7239261519070741,1.0002652262922906,Initial Detection,
95,5,E,16,Control,1906,582,25,,0.7247386126011455,1.0013878217087817,Initial Detection,
96,5,E,17,Control,2008,583,23,,0.7205840735323846,0.9956474006025586,Initial Detection,
97,5,E,18,Control,2114,584,24,,0.7183090564342003,0.9925039577437265,Initial Detection,
98,5,E,19,Control,2222,583,24,,0.7155032387465886,0.9886270956399879,Initial Detection,
99,5,E,20,Control,2326,585,25,,0.7130809871604489,0.9852802155410106,Initial Detection,
100,6,F,1,Sample,98,671,22,,0.7193888262509234,0.9939959002536397,Initial Detection,
101,6,F,2,Sample,203,674,23,,0.7253831793481492,1.002278434240673,Initial Detection,
102,6,F,3,Sample,309,674,26,,0.7288334774402887,1.00704578957494,Initial Detection,
103,6,F,4,Sample,410,679,23,,0.7323796953590411,1.0119456795148716,Initial Detection,
104,6,F,5,Sample,520,679,26,,0.7320707704608633,1.0115188309580552,Initial Detection,
105,6,F,6,Sample,625,681,25,,0.7351759250840986,1.015809293712717,Initial Detection,
106,6,F,7,Sample,730,681,23,,0.7324986028371325,1.0121099766813264,Initial Detection,
107,6,F,8,Sample,835,683,23,,0.7327340396437533,1.0124352850709069,Initial Detection,
108,6,F,9,Sample,945,685,23,,0.7275092450564216,1.0052160675768842,Backfilled,
109,6,F,10,Sample,1045,685,25,,0.7270438726752937,1.0045730519752336,Initial Detection,
110,6,F,11,Sample,1378,693,22,,0.7186086595907365,0.9929179262381386,Initial Detection,
111,6,F,12,Sample,1482,699,26,,0.7169125782128878,0.9905744120291896,Initial Detection,
112,6,F,13,Sample,1587,699,24,,0.7181008121526979,0.9922162218844647,Initial Detection,
113,6,F,14,Sample,1692,700,24,,0.71843619504817,0.9926796280578019,Initial Detection,
114,6,F,15,Sample,1799,700,25,,0.7227323696093585,0.998615750144727,Initial Detection,
115,6,F,16,Sample,1900,701,23,,0.7223225008620793,0.9980494251761272,Initial Detection,
116,6,F,17,Sample,2007,703,23,,0.7233879118657773,0.999521527787562,Initial Detection,
117,6,F,18,Sample,2116,703,24,,0.7201701026973114,0.9950754076859717,Initial Detection,
118,6,F,19,Sample,2222,706,26,,0.7145138946996531,0.9872600964724872,Initial Detection,
119,6,F,20,Sample,2333,710,24,,0.7088306535582372,0.9794074329495347,Initial Detection,
120,7,G,1,Sample,98,793,23,,0.7182035458209968,0.992358171330134,Initial Detection,
121,7,G,2,Sample,199,794,23,,0.7202297292476726,0.9951577950465235,Initial Detection,
122,7,G,3,Sample,308,798,23,,0.7309099989298327,1.0099149665374905,Initial Detection,
123,7,G,4,Sample,411,799,26,,0.7320187060125142,1.0114468923258169,Initial Detection,
124,7,G,5,Sample,518,800,25,,0.7379236496247135,1.0196058871942022,Initial Detection,
125,7,G,6,Sample,625,802,23,,0.7362941295378067,1.0173543422345626,Initial Detection,
126,7,G,7,Sample,730,804,23,,0.731970653634407,1.011380497262267,Initial Detection,
127,7,G,8,Sample,835,805,25,,0.7309129112747623,1.009918990590707,Initial Detection,
128,7,G,9,Sample,940,805,25,,0.7289450556111162,1.007199959670879,Initial Detection,
129,7,G,10,Sample,1047,804,26,,0.7280394946029621,1.005948725433303,Initial Detection,
130,7,G,11,Sample,1374,813,25,,0.7171217585437061,0.9908634412490771,Initial Detection,
131,7,G,12,Sample,1480,816,24,,0.7185326450311819,0.9928128951926181,Initial Detection,
132,7,G,13,Sample,1585,821,27,,0.7194233492083923,0.9940436014090325,Initial Detection,
133,7,G,14,Sample,1689,823,25,,0.7190815326645855,0.9935713057174889,Initial Detection,
134,7,G,15,Sample,1796,820,23,,0.7224532990879797,0.9982301520592275,Backfilled,
135,7,G,16,Sample,1901,822,25,,0.725469992221515,1.0023983855619416,Initial Detection,
136,7,G,17,Sample,2006,825,23,,0.7241322726786289,1.000550028049569,Initial Detection,
137,7,G,18,Sample,2113,822,21,,0.7233675647030179,0.9994934136500794,Initial Detection,
138,7,G,19,Sample,2223,823,26,,0.7137031768610715,0.9861399091990594,Initial Detection,
139,7,G,20,Sample,2322,826,23,,0.7090857204009559,0.979759864606382,Initial Detection,
140,8,H,1,Sample,91,913,25,,0.7182895414734672,0.9924769934787081,Initial Detection,
141,8,H,2,Sample,195,914,23,,0.7236185923732745,0.9998402642904843,Initial Detection,
142,8,H,3,Sample,303,914,24,,0.7291377590723266,1.0074662224253423,Initial Detection,
143,8,H,4,Sample,408,920,24,,0.7353500147963042,1.016049837426901,Initial Detection,
144,8,H,5,Sample,516,920,24,,0.7385021756047304,1.0204052496965694,Initial Detection,
145,8,H,6,Sample,620,922,24,,0.7355516829426013,1.016328486890607,Initial Detection,
146,8,H,7,Sample,727,922,25,,0.7307330969482074,1.009670537046698,Initial Detection,
147,8,H,8,Sample,831,921,23,,0.727504488757298,1.005209495690226,Initial Detection,
148,8,H,9,Sample,944,926,22,,0.7273537835491103,1.0050012628770113,Initial Detection,
149,8,H,10,Sample,1042,927,24,,0.728914170475345,1.0071572849764507,Initial Detection,
150,8,H,11,Sample,1371,938,25,,0.7199361558121444,0.994752157954745,Initial Detection,
151,8,H,12,Sample,1474,937,22,,0.7164055311483484,0.9898738135697801,Initial Detection,
152,8,H,13,Sample,1580,939,25,,0.7167661706619792,0.990372117386767,Initial Detection,
153,8,H,14,Sample,1687,941,25,,0.7196977503005323,0.9944227476379691,Initial Detection,
154,8,H,15,Sample,1794,941,23,,0.7181131761376474,0.9922333054836284,Backfilled,
155,8,H,16,Sample,1901,940,24,,0.7246857155383115,1.001314732634176,Initial Detection,
156,8,H,17,Sample,2007,946,24,,0.7272832889444206,1.0049038588786525,Initial Detection,
157,8,H,18,Sample,2112,946,24,,0.7262617959425246,1.0034924387690103,Initial Detection,
158,8,H,19,Sample,2219,941,27,,0.717828978418501,0.99184062303238,Initial Detection,
