,row,row_name,column,type,x_coord,y_coord,radius,halo,spot_intensity,norm_intensity,note,RT
61,5,E,2,Sample,198,410,24,,0.583857780115959,1.024614103261221,Initial Detection,
62,5,E,3,Sample,305,412,25,,0.5860189310139303,1.0284067146894653,Initial Detection,
63,5,E,4,Sample,411,408,25,,0.5840874422927335,1.0250171382353581,Initial Detection,
64,5,E,5,Sample,519,409,24,,0.5930249125922028,1.040701536779291,Initial Detection,
65,5,E,6,Sample,623,408,23,,0.590475511004887,1.0362275828298866,Initial Detection,
66,5,E,7,Sample,730,408,24,,0.5896382029614528,1.034758187954466,Initial Detection,
67,5,E,8,Sample,838,409,22,,0.5874240244676852,1.0308725182089993,Initial Detection,
68,5,E,9,Sample,943,408,24,,0.5817841054812085,1.020975004239678,Initial Detection,
69,5,E,10,Sample,1042,405,26,,0.5811210591396349,1.0198114218471348,Initial Detection,
70,5,E,11,Sample,1149,406,24,,0.579386008176328,1.0167665747158214,Initial Detection,
71,5,E,12,Sample,1256,404,24,,0.5794320411227653,1.016847358097906,Initial Detection,
72,5,E,13,Sample,1360,404,23,,0.5814647023151284,1.0204144824829462,Initial Detection,
73,5,E,14,Sample,1467,403,24,,0.5790418571005818,1.0161626227640428,Initial Detection,
74,5,E,15,Sample,1574,400,26,,0.5802601362972879,1.0183005852767748,Initial Detection,
75,5,E,16,Sample,1680,402,24,,0.5843619504817017,1.0254988736364377,Initial Detection,
76,5,E,17,Sample,1786,402,23,,0.585229313071499,1.0270210113425944,Initial Detection,
77,5,E,18,Sample,1894,402,23,,0.5905088050987525,1.0362860107541032,Initial Detection,
78,5,E,19,Sample,2003,401,22,,0.5940308178790352,1.0424668035592057,Initial Detection,
79,5,E,20,Sample,2109,400,25,,0.5969896253194734,1.0476592253022288,Initial Detection,
80,6,F,1,Sample,92,534,23,,0.5809985850010105,1.0195964915439122,Initial Detection,
81,6,F,2,Sample,197,533,23,,0.5861805728962293,1.0286903806059293,Initial Detection,
82,6,F,3,Sample,304,534,25,,0.5884050065157438,1.03259404710819,Initial Detection,
83,6,F,4,Sample,414,532,23,,0.5839760282524167,1.0248216173381506,Initial Detection,
84,6,F,5,Sample,518,530,24,,0.5925360865419392,1.0398436941981026,Initial Detection,
85,6,F,6,Sample,623,530,23,,0.5879927228623407,1.0318705290525825,Initial Detection,
86,6,F,7,Sample,730,530,24,,0.5895461370685781,1.0345966211902962,Initial Detection,
87,6,F,8,Sample,835,529,24,,0.5815670930194324,1.020594168295563,Initial Detection,
88,6,F,9,Sample,941,529,24,,0.5782549129210095,1.0147816116131614,Initial Detection,
89,6,F,10,Sample,1048,529,22,,0.5734847012169043,1.006410350059368,Initial Detection,
90,6,F,11,Sample,1151,527,24,,0.5750961759773779,1.009238332871043,Initial Detection,
91,6,F,12,Sample,1253,526,22,,0.5684978551896633,0.9976589161583098,Initial Detection,
92,6,F,13,Sample,1361,526,24,,0.5663433400190706,0.9938779497917383,Initial Detection,
93,6,F,14,Sample,1469,525,23,,0.5671434856538127,0.9952821282234392,Initial Detection,
94,6,F,15,Sample,1575,525,24,,0.5715012220651254,1.0029295354129764,Initial Detection,
95,6,F,16,Sample,1681,524,24,,0.5740966034261663,1.007484179431483,Initial Detection,
96,6,F,17,Sample,1787,524,24,,0.5792698297877003,1.0165626928467495,Initial Detection,
97,6,F,18,Sample,1895,524,23,,0.5830128776798772,1.0231313809590241,Initial Detection,
98,6,F,19,Sample,2001,523,25,,0.5879201139497529,1.031743107412598,Initial Detection,
99,6,F,20,Sample,2107,522,23,,0.5928060975754764,1.040317537525057,Initial Detection,
100,7,G,1,Sample,92,655,23,,0.5786061665418136,1.0153980278466248,Initial Detection,
101,7,G,2,Sample,197,656,24,,0.5854601650609934,1.0274261343233226,Initial Detection,
102,7,G,3,Sample,302,654,23,,0.5855265817667271,1.0275426892373865,Initial Detection,
103,7,G,4,Sample,411,655,24,,0.5842720766338955,1.0253411536999861,Initial Detection,
104,7,G,5,Sample,522,653,22,,0.5890128688620192,1.0336607869103238,Initial Detection,
105,7,G,6,Sample,623,652,24,,0.5881541884501145,1.0321538855891546,Initial Detection,
106,7,G,7,Sample,730,651,25,,0.5846571910577728,1.0260169923776787,Initial Detection,
107,7,G,8,Sample,835,652,24,,0.578605640131961,1.0153971040480947,Initial Detection,
108,7,G,9,Sample,942,652,24,,0.5717072743015595,1.0032911372184998,Initial Detection,
109,7,G,10,Sample,1046,651,24,,0.5664397900020822,0.9940472102113449,Initial Detection,
110,7,G,11,Sample,1151,649,24,,0.5663060752529071,0.9938125537205268,Initial Detection,
111,7,G,12,Sample,1257,648,25,,0.5604206443009969,0.9834841899263513,Initial Detection,
112,7,G,13,Sample,1363,646,24,,0.5572178563991275,0.977863606000317,Initial Detection,
113,7,G,14,Sample,1468,647,25,,0.5592771059995353,0.9814773904775811,Initial Detection,
114,7,G,15,Sample,1578,646,23,,0.5618996658699864,0.9860797301593054,Initial Detection,
115,7,G,16,Sample,1682,648,26,,0.5637296739463921,0.9892912178674845,Initial Detection,
116,7,G,17,Sample,1789,646,23,,0.5688914255817548,0.9983495942448172,Initial Detection,
117,7,G,18,Sample,1895,647,25,,0.5728621793900455,1.0053178842824095,Initial Detection,
118,7,G,19,Sample,2002,645,25,,0.5824630521966643,1.0221664902551262,Initial Detection,
119,7,G,20,Sample,2108,644,24,,0.5877004351209458,1.0313575922514593,Initial Detection,
120,8,H,1,Sample,92,777,22,,0.5796741961821078,1.0172723168762736,Initial Detection,
121,8,H,2,Sample,198,776,23,,0.5848654561885396,1.0263824775993688,Initial Detection,
122,8,H,3,Sample,307,775,22,,0.5844925676814016,1.0257280942266205,Initial Detection,
123,8,H,4,Sample,411,776,24,,0.5864728898826158,1.0292033687291926,Initial Detection,
124,8,H,5,Sample,518,776,24,,0.5857977400015343,1.0280185457919462,Initial Detection,
125,8,H,6,Sample,623,774,24,,0.5877552362476571,1.0314537629444178,Initial Detection,
126,8,H,7,Sample,730,774,24,,0.5841975471015683,1.025210361557563,Initial Detection,
127,8,H,8,Sample,836,774,24,,0.5741514045528774,1.0075803501244414,Initial Detection,
128,8,H,9,Sample,942,773,24,,0.571744539067723,1.0033565332897114,Initial Detection,
129,8,H,10,Sample,1046,773,24,,0.56394524271419,0.9896695202678817,Initial Detection,
130,8,H,11,Sample,1151,771,24,,0.5623099770931289,0.9867997867900051,Initial Detection,
131,8,H,12,Sample,1260,770,25,,0.5579800183855097,0.979201126791873,Initial Detection,
132,8,H,13,Sample,1363,771,23,,0.5560256364522764,0.9757713749582124,Initial Detection,
133,8,H,14,Sample,1469,768,24,,0.5585330834401954,0.9801717026313168,Initial Detection,
134,8,H,15,Sample,1575,769,24,,0.5575992722410371,0.9785329540233069,Initial Detection,
