,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity,RT
58,C,3,19,893,313,24,0.3402777777777775,4.425639735277119,kept,,1206,580,0.4007717873342021,290
59,C,3,20,992,313,22,0.4296875,2.700924867859095,kept,,1305,679,0.4053762463254234,295
60,D,4,20,1000,429,21,0.359375,9.2064303644499,kept,,1429,571,0.4094129769372973,300
61,D,4,19,895,426,22,0.265625,8.219132316808519,kept,,1321,469,0.4121142326070046,305
62,D,4,18,787,437,24,0.2430555555555556,4.056863084929224,kept,,1224,350,0.4188158519461366,310
63,D,4,17,688,436,22,0.375,4.488629090647497,kept,,1124,252,0.4286753341212837,315
64,D,4,16,582,429,20,0.3500000000000002,4.3253445175939085,kept,,1011,153,0.4483740946146619,320
65,D,4,15,486,432,20,0.4500000000000005,1.0659584197362593,kept,,918,54,0.5138143871665101,325
66,D,4,14,389,433,21,0.40625,1.3840722293968497,kept,,822,-44,0.4816579284985504,330
67,D,4,13,287,434,21,0.4296875,2.5997803258445225,kept,,721,-147,0.5372043923184935,335
68,D,4,12,190,435,23,0.4264705882352935,2.8284271247462103,kept,,625,-245,0.4924568900203049,340
69,D,4,11,89,436,21,0.4375,3.605551275464013,kept,,525,-347,0.4941701770868058,345
70,D,4,10,1009,447,21,0.3671875,4.341033129870887,kept,,1456,562,0.5464274530007778,350
71,D,4,9,906,447,24,0.381944444444444,1.6689364664612696,kept,,1353,459,0.6212665797900819,355
72,D,4,8,806,440,21,0.46875,3.4332076620879235,kept,,1246,366,0.5925932660544897,360
73,D,4,7,703,442,21,0.453125,3.438534798902429,kept,,1145,261,0.5356769807356223,365
74,D,4,6,605,438,21,0.421875,1.6210909446593962,kept,,1043,167,0.4608358335606267,370
75,D,4,5,502,434,23,0.4558823529411757,2.7976208590469547,kept,,936,68,0.4703175036114394,375
76,D,4,4,401,430,23,0.6102941176470575,0.8723391918301879,kept,,831,-29,0.6807588568657755,380
77,D,4,3,301,427,23,0.5661764705882342,2.7243352794317266,kept,,728,-126,0.7410774716893456,385
78,D,4,2,197,425,22,0.4921875,2.9206387094680406,kept,,622,-228,0.6036568981018475,390
79,D,4,1,93,421,20,0.5000000000000007,3.622460052930075,kept,,514,-328,0.5489913224434544,395
